id,vessel_id,lat,lon,speed,course,status,destination,eta,last_report_at,recorded_at,geom
8853,3,-4.615005,115.89489,13.1,224°,Underway by Sail,"Balikpapan, Indonesia","ETA: May 15, 00:59",2026-05-14 01:35:00+07,2024-05-14 08:40:18.751+07,0101000020E61000001EE1B4E045F95C408481E7DEC37512C0
688,3,-7.19896,112.72993,0.0,337.7°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 07:37:00+07,2026-04-19 07:40:06.039087+07,0101000020E6100000A297512CB72E5C4040D9942BBCCB1CC0
693,3,-7.19897,112.72994,0.0,337.7°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 08:01:00+07,2026-04-19 08:03:29.594046+07,0101000020E6100000B4024356B72E5C405D8AABCABECB1CC0
698,3,-7.19979,112.72772,4.8,255.5°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 08:36:00+07,2026-04-19 08:41:04.994665+07,0101000020E61000004A29E8F6922E5C407845F0BF95CC1CC0
703,3,-7.16965,112.67975,11.4,325.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 09:00:00+07,2026-04-19 09:03:10.169268+07,0101000020E61000002FDD2406812B5C40CB10C7BAB8AD1CC0
708,3,-7.06477,112.65946,11.1,10.5°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 09:35:00+07,2026-04-19 09:38:10.469242+07,0101000020E61000004A41B797342A5C40350C1F1153421CC0
713,3,-6.99004,112.69181,11.6,38.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 10:01:00+07,2026-04-19 10:02:58.215242+07,0101000020E6100000EE42739D462C5C4067EDB60BCDF51BC0
718,3,-6.89367,112.73533,12.1,30.9°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 10:36:00+07,2026-04-19 10:40:30.101609+07,0101000020E610000022718FA50F2F5C4050AA7D3A1E931BC0
723,3,-6.8423,112.79922,12.1,53.1°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 11:00:00+07,2026-04-19 11:03:56.851603+07,0101000020E6100000C993A46B26335C40E6AE25E4835E1BC0
728,3,-6.77581,112.89246,11.8,53.3°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 11:35:00+07,2026-04-19 11:38:25.458388+07,0101000020E61000003E3F8C101E395C4098A3C7EF6D1A1BC0
733,3,-6.7257,112.95843,11.6,56°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 12:00:00+07,2026-04-19 12:03:36.298493+07,0101000020E61000005760C8EA563D5C402CD49AE61DE71AC0
738,3,-6.65995,113.05374,11.6,53.5°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 12:36:00+07,2026-04-19 12:39:07.60492+07,0101000020E61000002C9FE57970435C4016FBCBEEC9A31AC0
743,3,-6.61853,113.12172,11.3,54.4°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 13:00:00+07,2026-04-19 13:02:59.946744+07,0101000020E610000039D1AE42CA475C402861A6ED5F791AC0
748,3,-6.54504,113.21119,11.7,52.1°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 13:36:00+07,2026-04-19 13:40:01.831478+07,0101000020E610000081CF0F23844D5C40200C3CF71E2E1AC0
753,3,-6.50237,113.26887,11.7,46.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 13:58:00+07,2026-04-19 14:05:23.657493+07,0101000020E61000000938842A35515C4051F701486D021AC0
758,3,-6.46356,113.32336,11.3,51.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 14:19:00+07,2026-04-19 14:39:07.27642+07,0101000020E6100000693524EEB1545C405FEFFE78AFDA19C0
773,3,-6.3011,113.54611,11.6,55.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 15:44:00+07,2026-04-19 16:03:25.62724+07,0101000020E610000030815B77F3625C406A4DF38E533419C0
778,3,-6.20425,113.68461,11.9,55.7°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 16:35:00+07,2026-04-19 16:38:28.183788+07,0101000020E6100000EF2076A6D06B5C40FED478E926D118C0
791,3,-6.03953,113.916,12.2,56.2°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 18:00:00+07,2026-04-19 18:05:55.185058+07,0101000020E6100000B4C876BE9F7A5C40F1D7648D7A2818C0
795,3,-5.96975,114.01348,12.3,51.9°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 18:35:00+07,2026-04-19 18:39:37.590419+07,0101000020E61000009BC937DBDC805C401B2FDD2406E117C0
800,3,-5.91549,114.08561,12.4,56.9°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 19:01:00+07,2026-04-19 19:05:04.956667+07,0101000020E61000007A8D5DA27A855C409A42E73576A917C0
805,3,-5.84657,114.18682,12.6,54.9°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 19:36:00+07,2026-04-19 19:39:53.523912+07,0101000020E6100000478FDFDBF48B5C405019FF3EE36217C0
810,3,-5.80867,114.24349,12.6,56.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 19:55:00+07,2026-04-19 20:04:50.104838+07,0101000020E6100000CBB91457958F5C4079060DFD133C17C0
815,3,-5.73201,114.33804,12.7,47.1°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 20:30:00+07,2026-04-19 20:40:27.90482+07,0101000020E61000005A2F8672A2955C403D61890794ED16C0
820,3,-5.6849,114.39902,12.8,62.1°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 20:52:00+07,2026-04-19 21:04:27.066763+07,0101000020E6100000CB9C2E8B89995C40211FF46C56BD16C0
825,3,-5.59625,114.53246,12.4,56.3°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 21:36:00+07,2026-04-19 21:39:25.640331+07,0101000020E6100000679B1BD313A25C40C3F5285C8F6216C0
830,3,-5.55483,114.59608,12.4,57.3°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 21:58:00+07,2026-04-19 22:03:23.047545+07,0101000020E61000002E73BA2C26A65C40D55B035B253816C0
835,3,-5.48965,114.69399,12.4,56.5°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 22:33:00+07,2026-04-19 22:38:07.642861+07,0101000020E6100000117008556AAC5C4013F241CF66F515C0
840,3,-5.45421,114.74754,12.3,57.7°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 22:51:00+07,2026-04-19 23:03:38.29689+07,0101000020E6100000EB1C03B2D7AF5C408C101E6D1CD115C0
845,3,-5.38558,114.85073,12.3,55.4°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-19 23:27:00+07,2026-04-19 23:38:53.58379+07,0101000020E610000078EE3D5C72B65C407BF7C77BD58A15C0
961,3,-3.66797,116.4311,12.1,7.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 11:31:00+07,2026-04-20 11:38:11.110693+07,0101000020E61000008F537424971B5D4047ACC5A700580DC0
966,3,-3.56973,116.44619,12.3,11.7°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 12:00:00+07,2026-04-20 12:03:14.421886+07,0101000020E6100000587380608E1C5D4090662C9ACE8E0CC0
971,3,-3.45132,116.4657,12.6,8.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 12:35:00+07,2026-04-20 12:39:11.565096+07,0101000020E6100000D26F5F07CE1D5D40EA3E00A94D9C0BC0
976,3,-3.35904,116.48703,12.7,19.6°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 13:02:00+07,2026-04-20 13:05:53.526567+07,0101000020E6100000F08AE07F2B1F5D408FA50F5D50DF0AC0
981,3,-3.03826,116.56468,12.7,11.1°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 14:34:00+07,2026-04-20 14:39:53.096307+07,0101000020E6100000232D95B723245D40AEF545425B4E08C0
1050,3,-1.60612,116.87523,12.6,13.4°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 21:35:00+07,2026-04-20 21:39:27.729845+07,0101000020E6100000999EB0C403385D406D3997E2AAB2F9BF
1055,3,-1.52573,116.91463,12.9,53.8°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 22:02:00+07,2026-04-20 22:05:12.833577+07,0101000020E6100000317C444C893A5D40D36A48DC6369F8BF
1060,3,-1.45003,117.01936,11.3,355.1°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 22:38:00+07,2026-04-20 22:43:13.487345+07,0101000020E610000070B6B9313D415D40888043A85233F7BF
1065,3,-1.38447,116.9718,12.6,321°,Under way,"Surabaya, Indonesia","ETA: Apr 20, 22:00",2026-04-20 23:02:00+07,2026-04-20 23:05:00.510962+07,0101000020E61000002E90A0F8313E5D409FB0C403CA26F6BF
